
Tue Jan 24 15:59:01 2012
System: AIX 7.1 Node: D-DB-NIM
Machine: 00CADA0E4C00
Internet Address: 0A070D32 10.7.13.50
At trace startup, the system contained 16 cpus, of which 16 were traced.
Buffering: Kernel Heap
This is from a 64-bit kernel.
Tracing only these hooks, 59b0,59c0



trace -aj 59B,59C -o tmp_demoted/trace.out      


ID   PROCESS NAME   CPU PID      TID      I    ELAPSED_SEC     DELTA_MSEC   APPL    SYSCALL KERNEL  INTERRUPT

001  trace          0   7012368  42139671      0.000000000       0.000000                   TRACE ON channel 0
59B  --1-           -1  -1       43384947      1.389194906       0.007483                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB8F44, length = 1000
59B  --1-           -1  -1       43384947      1.389201937       0.007031                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FB9F4C, length = 1000
59B  --1-           -1  -1       43384947      1.389209095       0.007158                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBAF54, length = 1000
59B  --1-           -1  -1       43384947      1.389216343       0.007248                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBBF5C, length = 1000
59B  --1-           -1  -1       43384947      1.389223718       0.007375                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBCF64, length = 1000
59B  --1-           -1  -1       43384947      1.389230966       0.007248                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBDF6C, length = 1000
59B  --1-           -1  -1       43384947      1.389237908       0.006942                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBEF74, length = 1000
59B  --1-           -1  -1       43384947      1.389245394       0.007486                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FBFF7C, length = 1000
59B  --1-           -1  -1       43384947      1.389252923       0.007529                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC0F84, length = 1000
59B  --1-           -1  -1       43384947      1.389259939       0.007016                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC1F8C, length = 1000
59B  --1-           -1  -1       43384947      1.389266996       0.007057                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC2F94, length = 1000
59B  --1-           -1  -1       43384947      1.389274216       0.007220                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC3F9C, length = 1000
59B  --1-           -1  -1       43384947      1.389281625       0.007409                   JFS2 IO read: vp = F1000103809DC820, sid = 910111, offset = 0000000001FC4FA4, length = 1000
